Head,Tail,True_Relation,Model_Output
clean,rigidify,_similar_to,"There is no direct lexical relation between ""clean"" and ""rigidify"" in the context of WordNet."
scorpaenidae,fish family,_hypernym,is-a
shift,switching,_derivationally_related_form,similar-to
invitee,pay for,_derivationally_related_form,No direct lexical relation
cycle of rebirth,hinduism,_synset_domain_topic_of,related-to
moderate,restrain,_hypernym,similar-to
genus amberboa,asterid dicot genus,_hypernym,is-a
veto,oppose,_hypernym,similar-to
shun,turning away,_derivationally_related_form,similar-to
lieutenancy,lieutenant,_derivationally_related_form,derived-from
rivet,think,_hypernym,unrelated
rape,mustard,_hypernym,derived-from
south carolina,pee dee river,_has_part,part-of
sculpture,statue maker,_derivationally_related_form,derived-from
slugger,baseball game,_synset_domain_topic_of,part-of
retardation,wait,_hypernym,derived-from
natural gas,fossil fuel,_hypernym,is-a
snuggle,snuggle,_verb_group,synonym
yell,vocalization,_hypernym,is-a
lam,flight,_hypernym,similar-to
autopsy,medicine,_synset_domain_topic_of,part-of
proclaim,glorification,_derivationally_related_form,"""related-to"""
stamp,seal,_derivationally_related_form,similar-to
light colonel,war machine,_synset_domain_topic_of,is-a
bender,flex,_derivationally_related_form,similar-to
awl,hand tool,_hypernym,is-a
urinary,weewee,_derivationally_related_form,is-a
hamstring,torment,_hypernym,similar-to
ballot,voting,_derivationally_related_form,part-of
satisfactory,satisfy,_derivationally_related_form,derived-from
genus actaea,magnoliid dicot genus,_hypernym,is-a
geranium family,geranium,_member_meronym,is-a
supermolecule,molecule,_hypernym,is-a
hyphantria,arthropod genus,_hypernym,is-a
restriction,rule,_hypernym,is-a
prunus ilicifolia,wild plum tree,_hypernym,is-a
deviation,statistic,_hypernym,part-of
stonewaller,thwarter,_hypernym,synonym
pay heed,attention,_derivationally_related_form,synonym
fort worth,urban center,_instance_hypernym,is-a
neritidae,mollusk family,_hypernym,is-a
support,subscriber,_derivationally_related_form,part-of
contrast,direct contrast,_derivationally_related_form,is-a
filling,odontology,_synset_domain_topic_of,part-of
os ischii,os,_hypernym,part-of
traffic,trade,_hypernym,related-to
warwick,statesman,_instance_hypernym,is-a
yawning,yawn,_derivationally_related_form,derived-from
rudder,steering system,_hypernym,part-of
leftism,leftist,_derivationally_related_form,derived-from
image breaker,waster,_hypernym,similar-to
reverting,lapse,_derivationally_related_form,similar-to
signer,communicator,_hypernym,is-a
atlantic city,urban center,_instance_hypernym,is-a
sexy,sexual urge,_derivationally_related_form,related-to
libel,law,_synset_domain_topic_of,is-a
brace,brace,_derivationally_related_form,synonym
electrocution,execution,_hypernym,derived-from
salvinia,fern genus,_hypernym,is-a
true sparrow,passerine,_hypernym,is-a
alkali,basify,_derivationally_related_form,derived-from
accentor,oscine bird,_hypernym,is-a
togs,wearable,_hypernym,is-a
germany,bonn,_has_part,part-of
genus cottus,fish genus,_hypernym,is-a
misgive,misgiving,_derivationally_related_form,derived-from
trematoda,fasciolidae,_member_meronym,is-a
saviour,save,_derivationally_related_form,derived-from
transport,channelization,_derivationally_related_form,"""part-of"""
market,shelf,_has_part,part-of
piciform bird,bird,_hypernym,is-a
